,City,Country,Lat,Lng,Date,Max Temp,Humidity,Clouds,Wind Speed
25,Ilulissat,GL,69.2167,-51.1,1646347305,17.62,73,75,8.05
26,Port Blair,IN,11.6667,92.75,1646347305,78.84,94,40,2.3
27,Bluff,NZ,-46.6,168.3333,1646347306,66.79,80,100,8.59
28,Sitka,US,57.0531,-135.33,1646347020,40.89,60,75,4.61
29,Hithadhoo,MV,-0.6,73.0833,1646347306,81.99,73,6,7.54
30,Turaif,SA,31.6725,38.6637,1646347307,43.05,87,0,16.11
31,Upernavik,GL,72.7868,-56.1549,1646347307,2.8,93,99,8.46
32,Qaanaaq,GL,77.484,-69.3632,1646347308,6.57,60,0,8.68
33,Almeirim,BR,-1.5233,-52.5817,1646347308,78.37,83,69,3.24
34,Ribeira Grande,PT,38.5167,-28.7,1646347309,60.96,89,100,18.39
35,Salta,AR,-24.7859,-65.4117,1646347216,75.79,74,75,3.44
36,Nikolskoye,RU,59.7035,30.7861,1646347310,31.89,97,93,5.26
37,Mae Hong Son,TH,19.3003,97.9685,1646347310,66.38,58,80,1.36
38,Viedma,AR,-40.8135,-62.9967,1646347310,79.57,35,61,10.51
39,Puerto Ayora,EC,-0.7393,-90.3518,1646347311,82.36,75,61,7.47
40,Vaini,TO,-21.2,-175.2,1646347312,80.76,89,75,5.75
41,Codrington,AU,-38.2667,141.9667,1646347312,76.87,50,100,7.29
42,La Unión,PE,-5.4,-80.75,1646347312,81.55,60,100,2.35
43,Iqaluit,CA,63.7506,-68.5145,1646347313,-2.31,84,100,3.44
44,Aklavik,CA,68.2191,-135.0107,1646347313,13.03,66,75,6.91
45,San Cristobal,VE,7.7669,-72.225,1646347314,77.18,76,90,3.13
46,Tsimmerbude,RU,54.675,20.1347,1646347314,35.65,93,65,8.39
47,Kharp,RU,66.8014,65.8081,1646347315,-15.18,93,31,7.99
48,Grand-Lahou,CI,5.1367,-5.0242,1646347315,79.38,84,32,9.69
49,Ambon City,ID,-3.6954,128.1814,1646347316,77.14,94,40,3.44
50,Kruisfontein,ZA,-34.0033,24.7314,1646347316,65.88,82,100,3.91
51,Lüderitz,NA,-26.6481,15.1594,1646347317,65.43,82,1,8.25
52,Teya,RU,60.3778,92.6267,1646347317,-9.04,100,99,4.16
53,Kumul,CN,42.8,93.45,1646347318,34.27,50,0,8.08
54,Tambopata,PE,-12.7333,-69.1833,1646347318,87.69,62,20,6.91
55,Talnakh,RU,69.4865,88.3972,1646347319,-19.26,98,91,5.14
56,Yellowknife,CA,62.456,-114.3525,1646347319,10.92,56,75,6.91
57,Port Lincoln,AU,-34.7333,135.8667,1646347320,66.85,73,100,9.84
58,Sørland,NO,67.667,12.6934,1646347320,33.87,70,98,6.4
59,Tyukhtet,RU,56.5389,89.3011,1646347321,14.23,92,99,8.88
60,Butaritari,KI,3.0707,172.7902,1646347322,81.45,82,100,15.3
61,George Town,MY,5.4112,100.3354,1646347322,80.53,93,20,3.44
62,Jiayuguan City,CN,39.8167,98.3,1646347322,28.22,58,5,4.45
63,Namatanai,PG,-3.6667,152.4333,1646347324,81.14,82,98,4.47
64,Russell,US,32.3502,-85.1999,1646347324,79.88,25,0,4.61
65,Tasiilaq,GL,65.6145,-37.6368,1646347325,26.29,94,100,11.27
66,Tiksi,RU,71.6872,128.8694,1646347325,-14.96,99,100,1.97
67,Skibbereen,IE,51.55,-9.2667,1646347318,40.1,71,5,11.72
68,Zatoka,UA,46.0725,30.4654,1646347326,36.34,87,91,12.53
69,Xining,CN,36.6167,101.7667,1646347326,26.83,69,41,1.74
70,Zlatoust,RU,55.1711,59.6508,1646347327,20.08,98,93,1.92
71,Hermanus,ZA,-34.4187,19.2345,1646347327,63.9,82,100,2.59
72,Mataura,NZ,-46.1927,168.8643,1646347328,66.47,61,100,2.06
73,Busselton,AU,-33.65,115.3333,1646347328,54.05,86,1,7.67
74,Hambantota,LK,6.1241,81.1185,1646347329,78.8,84,99,11.5
75,Loyga,RU,61.0784,44.6075,1646347329,24.76,98,100,2.15
76,Malanje,AO,-9.5402,16.341,1646347329,63.95,97,92,2.19
77,Kieta,PG,-6.2167,155.6333,1646347330,84.36,72,99,2.86
78,Rawson,AR,-43.3002,-65.1023,1646347330,79.38,30,79,21.92
79,Diffa,NE,13.3154,12.6113,1646347331,78.13,7,33,8.81
80,Jamestown,US,42.097,-79.2353,1646347319,22.59,49,99,4.0
81,Muslyumovo,RU,55.3033,53.1947,1646347331,16.3,96,99,3.06
82,Omboué,GA,-1.5746,9.2618,1646347332,77.85,87,49,3.27
83,Castro,BR,-24.7911,-50.0119,1646347332,63.73,97,95,3.15
84,Skjervøy,NO,70.0311,20.9714,1646347333,28.4,75,100,22.17
85,Teseney,ER,15.11,36.6575,1646347333,84.25,22,18,5.7
86,Padang,ID,-0.9492,100.3543,1646347334,73.45,85,100,2.19
87,Chui,UY,-33.6971,-53.4616,1646347334,68.18,71,47,10.09
88,Portland,US,45.5234,-122.6762,1646347317,52.9,83,75,5.99
89,Traverse City,US,44.7631,-85.6206,1646347305,27.34,48,20,6.91
90,Mogadishu,SO,2.0371,45.3438,1646347078,77.74,80,65,20.74
91,Vanimo,PG,-2.6741,141.3028,1646347335,77.88,88,100,3.51
92,Atuona,PF,-9.8,-139.0333,1646347336,79.07,73,1,18.97
93,Vao,NC,-22.6667,167.4833,1646347336,79.21,73,7,8.99
94,Krasnosel'kup,RU,65.7,82.4667,1646347337,6.67,95,100,14.23
95,Waingapu,ID,-9.6567,120.2641,1646347337,79.84,86,63,4.41
96,Bambous Virieux,MU,-20.3428,57.7575,1646347338,77.25,94,75,3.44
97,Tocopilla,CL,-22.092,-70.1979,1646347313,71.76,75,64,5.28
98,Tautira,PF,-17.7333,-149.15,1646347339,86.0,76,21,15.66
99,Tuktoyaktuk,CA,69.4541,-133.0374,1646347339,1.4,71,75,6.91
100,Harlingen,US,26.1906,-97.6961,1646347340,78.89,58,100,16.11
101,Faanui,PF,-16.4833,-151.75,1646347340,80.89,76,20,11.65
102,Naryan-Mar,RU,67.6713,53.087,1646347340,-18.83,100,61,6.38
103,Bethel,US,41.3712,-73.414,1646347341,37.98,40,0,13.8
104,Yinchuan,CN,38.4681,106.2731,1646347145,36.91,41,3,5.82
105,Arrondissement de Millau,FR,44.0833,2.9167,1646347342,48.99,85,59,1.54
106,Kemijärvi,FI,66.7131,27.4306,1646347342,7.32,97,34,3.56
107,Anta,IN,25.15,76.3,1646347343,63.52,44,0,8.46
108,Verkhneyarkeyevo,RU,55.4505,54.3145,1646347343,14.34,97,96,3.96
109,Huarmey,PE,-10.0681,-78.1522,1646347344,74.37,78,82,4.63
110,Pevek,RU,69.7008,170.3133,1646347344,-14.49,99,97,0.81
111,Hofn,IS,64.2539,-15.2082,1646347344,34.0,56,43,8.21
112,Dicabisagan,PH,17.0818,122.4157,1646347345,74.43,84,94,3.53
113,Longyearbyen,SJ,78.2186,15.6401,1646347345,8.44,85,75,5.75
114,Alexandria,EG,31.2156,29.9553,1646347200,55.36,67,40,6.91
115,Saint-Philippe,RE,-21.3585,55.7679,1646347346,78.39,83,31,9.13
116,Ovalle,CL,-30.5983,-71.2003,1646347152,76.82,46,2,6.31
117,Airai,TL,-8.9266,125.4092,1646347347,64.81,86,48,0.47
118,Saldanha,ZA,-33.0117,17.9442,1646347347,60.85,84,78,12.1
119,Tarauacá,BR,-8.1614,-70.7656,1646347348,77.43,85,86,3.42
120,Magnitka,RU,55.3475,59.6961,1646347348,21.04,99,96,1.97
121,Port Hardy,CA,50.6996,-127.4199,1646347062,45.75,87,75,13.8
122,Bacungan,PH,9.9106,118.7022,1646347349,78.35,85,68,3.96
123,Krasnaya Zarya,RU,52.7825,37.6806,1646347350,28.45,96,100,10.67
124,Kyren,RU,51.6828,102.1408,1646347350,1.44,82,86,2.62
125,Bereket,TM,39.2446,55.5154,1646347351,66.22,35,100,10.83
126,Saskylakh,RU,71.9167,114.0833,1646347351,-29.92,100,99,3.6
127,Esperance,AU,-33.8667,121.9,1646347352,57.04,70,12,8.55
128,Kiryat Gat,IL,31.61,34.7642,1646347352,56.08,100,62,11.97
129,Port Elizabeth,ZA,-33.918,25.5701,1646347239,68.29,83,0,8.05
130,Navrongo,GH,10.8956,-1.0921,1646347353,89.82,10,25,5.73
131,Necochea,AR,-38.5473,-58.7368,1646347353,77.04,46,39,12.91
132,Ozernovskiy,RU,51.5,156.5167,1646347353,23.22,79,100,17.6
133,Deputatsky,RU,69.3,139.9,1646347354,-21.14,99,100,0.92
134,Glenwood Springs,US,39.5505,-107.3248,1646347064,60.6,24,0,0.0
135,Mpulungu,ZM,-8.7623,31.1141,1646347355,71.28,82,69,2.82
136,Batemans Bay,AU,-35.7167,150.1833,1646347355,76.19,89,82,7.2
137,Nabire,ID,-3.3667,135.4833,1646347356,80.06,81,95,2.04
138,Pangkalanbuun,ID,-2.6833,111.6167,1646347356,75.11,97,100,2.24
139,Grindavik,IS,63.8424,-22.4338,1646347357,33.75,93,40,8.05
140,Mandurah,AU,-32.55,115.7,1646347357,62.22,76,0,10.42
141,St. George's,GD,12.0564,-61.7485,1646347287,80.28,78,40,18.41
142,Kutum,SD,14.2,24.6667,1646347358,70.21,8,65,10.87
143,Alice Springs,AU,-23.7,133.8833,1646347209,72.95,46,18,6.91
144,Takoradze,GH,4.8845,-1.7554,1646347358,79.86,86,50,10.25
145,Avarua,CK,-21.2078,-159.775,1646347359,84.25,74,90,10.36
146,Burnie,AU,-41.0667,145.9167,1646347204,69.93,87,99,13.13
147,Chibombo,ZM,-14.6569,28.0706,1646347359,63.84,96,93,3.42
148,Dudinka,RU,69.4058,86.1778,1646347360,-18.33,100,94,6.64
149,San Jose,US,37.3394,-121.895,1646347160,62.73,72,100,8.05
150,Fortuna,US,40.5982,-124.1573,1646347360,54.86,83,100,17.27
151,Östersund,SE,63.1792,14.6357,1646347361,23.45,93,82,5.75
152,Kaitangata,NZ,-46.2817,169.8464,1646347361,67.93,61,100,2.84
153,Karratha,AU,-20.7377,116.8463,1646347362,85.03,65,37,20.69
154,Paravūr Tekkumbhāgam,IN,8.7833,76.7,1646347362,80.62,65,96,4.81
155,Pytalovo,RU,57.0679,27.9138,1646347363,30.61,88,100,7.23
156,Bunia,CD,1.5667,30.25,1646347363,68.14,49,90,1.01
157,Brae,GB,60.3964,-1.353,1646347364,44.51,85,100,9.15
158,Kavieng,PG,-2.5744,150.7967,1646347365,82.74,79,96,8.41
159,Lincoln,US,40.8,-96.667,1646347126,52.9,40,0,16.11
160,Tirau,NZ,-37.9833,175.75,1646347365,72.14,48,98,1.99
161,Guerrero Negro,MX,27.9769,-114.0611,1646347366,70.81,38,55,14.92
162,Palmer,US,42.1584,-72.3287,1646347366,30.49,39,20,20.71
163,Cabo San Lucas,MX,22.8909,-109.9124,1646347367,92.52,46,13,11.81
164,Carnarvon,AU,-24.8667,113.6333,1646347116,69.87,32,0,12.66
165,Kenai,US,60.5544,-151.2583,1646347368,43.03,84,100,10.36
166,Sortavala,RU,61.7053,30.6918,1646347368,24.15,92,52,9.66
167,Caravelas,BR,-17.7125,-39.2481,1646347369,77.63,88,4,5.53
168,Komatsu,JP,36.4026,136.4509,1646347369,35.73,86,20,3.44
169,Zhangjiakou,CN,40.81,114.8794,1646347370,28.81,46,39,24.63
170,Bayan,CN,46.0833,127.4,1646347370,17.06,83,100,9.6
171,Hilo,US,19.7297,-155.09,1646347371,81.25,72,20,10.36
172,Vostok,RU,46.4856,135.8833,1646347371,10.9,92,65,4.47
173,Great Falls,US,47.5002,-111.3008,1646346727,35.17,93,100,9.22
174,Tegul'det,RU,57.3064,88.1667,1646347372,14.61,95,100,8.43
175,Fukuechō,JP,32.6881,128.8419,1646347372,52.52,50,74,2.73
176,Havre-St-Pierre,CA,50.2334,-63.5986,1646347373,15.8,79,100,16.11
177,Narsaq,GL,60.9167,-46.05,1646347373,16.02,67,67,13.58
178,Rosita,NI,13.9268,-84.4032,1646347373,82.26,52,48,6.73
179,Umarkot,PK,25.3616,69.7362,1646347374,68.38,32,0,8.25
180,Pangnirtung,CA,66.1451,-65.7125,1646347374,6.8,85,100,2.3
181,Samarai,PG,-10.6167,150.6667,1646347375,83.91,73,69,7.63
182,Inhambane,MZ,-23.865,35.3833,1646347375,73.04,78,0,6.17
183,Flinders,AU,-34.5833,150.8552,1646347376,75.11,93,86,3.0
184,New Norfolk,AU,-42.7826,147.0587,1646347376,69.93,69,100,1.01
185,Port Augusta,AU,-32.5,137.7667,1646347376,77.7,73,100,19.19
186,Nazas,MX,25.2333,-104.1333,1646347377,86.88,9,23,6.49
187,Young,UY,-32.6833,-57.6333,1646347378,82.22,61,63,7.29
188,Cherskiy,RU,68.75,161.3,1646347378,-19.62,99,63,2.77
189,São João da Barra,BR,-21.6403,-41.0511,1646347379,77.45,90,0,11.68
190,Ondarroa,ES,43.3167,-2.4167,1646347379,49.46,88,100,12.06
191,Hong Kong,HK,22.2855,114.1577,1646347380,69.94,85,43,3.0
192,Beatrice,US,40.2681,-96.747,1646347380,55.38,35,0,11.5
193,Fairbanks,US,64.8378,-147.7164,1646347245,32.92,69,0,0.0
194,Ixtapa,MX,20.7,-105.2,1646347113,76.23,73,0,12.66
195,Lavrentiya,RU,65.5833,-171.0,1646347381,12.06,89,93,7.76
196,São Filipe,CV,14.8961,-24.4956,1646347382,74.03,65,0,14.85
197,Constitución,CL,-35.3333,-72.4167,1646347382,62.8,85,10,12.53
198,Nālūt,LY,30.3333,10.85,1646347382,55.69,37,1,11.16
199,Noumea,NC,-22.2763,166.4572,1646347338,85.98,99,58,5.01
200,East London,ZA,-33.0153,27.9116,1646347383,70.43,94,100,3.0
201,Thompson,CA,55.7435,-97.8558,1646347334,17.76,38,0,16.11
202,Cidreira,BR,-30.1811,-50.2056,1646347383,76.1,84,0,10.07
203,Nurota,UZ,40.5614,65.6886,1646347384,48.29,44,66,8.63
204,Myitkyina,MM,25.3833,97.4,1646347384,57.67,53,0,2.59
205,Lafia,NG,8.4833,8.5167,1646347385,87.82,33,88,0.96
206,Vestmannaeyjar,IS,63.4427,-20.2734,1646347385,38.88,64,89,20.49
207,Emerald,AU,-23.5333,148.1667,1646347386,88.34,42,0,10.36
208,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,1646347386,21.78,68,75,4.47
209,Mayo,US,38.8876,-76.5119,1646347386,51.84,30,0,14.0
210,Srīvardhan,IN,18.0333,73.0167,1646347387,77.34,47,7,4.54
211,Marsh Harbour,BS,26.5412,-77.0636,1646347387,73.15,61,53,11.32
212,Cockburn Town,TC,21.4612,-71.1419,1646347291,78.76,73,3,9.22
213,Lorengau,PG,-2.0226,147.2712,1646347388,83.12,78,71,1.45
214,Ekangala,ZA,-25.6962,28.7492,1646347389,69.78,62,47,6.55
215,Robertsport,LR,6.7533,-11.3686,1646347389,79.38,84,97,8.25
216,Witu,KE,-2.3889,40.4382,1646347390,80.76,91,43,9.62
217,Henties Bay,NA,-22.116,14.2845,1646347390,64.99,85,2,8.43
218,Vila Franca do Campo,PT,37.7167,-25.4333,1646347390,60.19,80,100,7.02
219,Laishevo,RU,55.4046,49.5504,1646347391,16.02,98,100,3.22
220,Atar,MR,20.5169,-13.0499,1646347391,68.77,15,0,9.55
221,Severo-Kuril'sk,RU,50.6789,156.125,1646347392,22.3,69,99,21.5
222,Grenfell,AU,-33.9,148.1667,1646347392,74.26,59,2,13.87
223,Quatre Cocos,MU,-20.2078,57.7625,1646347393,77.11,88,57,6.8
224,Lebu,CL,-37.6167,-73.65,1646347393,61.59,84,18,6.69
225,Orocué,CO,4.7912,-71.3354,1646347394,82.71,66,100,8.23
226,Sivas Province,TR,39.7916,37.0019,1646347394,23.63,100,75,13.8
227,Palana,RU,59.1167,159.9667,1646347394,12.9,84,23,9.48
228,Clyde River,CA,70.4692,-68.5914,1646347207,7.03,85,100,20.71
229,Touros,BR,-5.1989,-35.4608,1646347395,83.3,74,25,13.13
230,Dunedin,NZ,-45.8742,170.5036,1646347267,64.49,71,100,2.04
231,Paris,FR,48.8534,2.3488,1646347232,49.14,87,75,5.75
232,Wawa,NG,9.9022,4.4192,1646347396,88.93,40,95,12.33
233,Harper,LR,4.375,-7.7169,1646347396,80.02,85,53,7.92
234,Abapó,BO,-18.8333,-63.4667,1646347397,81.14,51,51,8.52
235,Sandwick,GB,60.0,-1.25,1646347397,44.42,93,75,13.8
236,Borogontsy,RU,62.6683,131.1683,1646347398,-5.46,98,100,4.09
237,Nouakchott,MR,18.0858,-15.9785,1646347102,80.53,29,0,13.96
238,Richards Bay,ZA,-28.783,32.0377,1646347398,72.97,82,9,10.89
239,Havøysund,NO,70.9963,24.6622,1646347399,29.28,81,100,26.37
240,Coyhaique,CL,-45.5752,-72.0662,1646347399,51.75,54,40,9.22
241,Athabasca,CA,54.7169,-113.2854,1646347399,15.62,94,100,8.52
242,Kirkwall,GB,58.9848,-2.9587,1646347400,41.34,87,20,3.44
243,Saint Paul Harbor,US,57.79,-152.4072,1646347285,42.31,61,0,9.22
244,Sakaiminato,JP,35.55,133.2333,1646347401,33.73,93,20,3.44
245,Beïnamar,TD,8.6698,15.3813,1646347401,82.49,8,81,3.24
246,Corpus Christi,US,27.8006,-97.3964,1646347170,79.36,75,75,14.97
247,Pisco,PE,-13.7,-76.2167,1646347402,77.05,65,0,13.8
248,Birao,CF,10.2849,22.7882,1646347402,80.58,20,61,5.66
249,Obo,CF,5.3998,26.4869,1646347403,73.36,58,83,3.47
250,Lompoc,US,34.6391,-120.4579,1646347275,70.21,62,0,13.8
251,Saint-Pierre,RE,-21.3393,55.4781,1646347403,78.48,89,75,4.61
252,San Patricio,US,28.017,-97.5169,1646347404,79.21,74,100,10.47
253,Arrondissement d'Ajaccio,FR,42.0,8.9167,1646347405,42.85,93,100,3.44
254,Nanyang,CN,32.9947,112.5328,1646347406,49.48,52,2,1.39
255,Rāmshīr,IR,30.8946,49.4092,1646347406,69.55,38,100,6.49
256,Rocha,UY,-34.4833,-54.3333,1646347406,62.73,74,55,7.18
257,Progreso,MX,21.2833,-89.6667,1646347407,82.51,60,0,13.69
258,Nome,US,64.5011,-165.4064,1646347408,26.67,80,100,11.5
259,Kalachinsk,RU,55.0529,74.5751,1646347408,15.21,90,100,8.05
260,Yārāda,IN,17.65,83.2667,1646347157,68.32,100,20,2.3
261,Katsuura,JP,35.1333,140.3,1646347409,48.18,54,100,11.48
262,Wasco,US,35.5941,-119.341,1646347409,74.14,24,0,8.05
263,Kajansi,UG,0.2081,32.5222,1646347410,66.52,73,70,1.45
264,Minoh,JP,34.8269,135.4706,1646347410,40.91,81,20,3.44
265,Makakilo City,US,21.3469,-158.0858,1646347411,82.72,53,20,16.11
266,El Porvenir,HN,13.7617,-87.3458,1646347411,92.3,21,23,8.01
267,Vanavara,RU,60.34,102.2797,1646347411,-14.93,100,70,4.29
268,Santa Cruz de la Sierra,BO,-17.8,-63.1667,1646347412,84.25,65,40,9.22
269,Berlevåg,NO,70.8578,29.0864,1646347412,28.35,69,75,24.16
270,Poum,NC,-20.2333,164.0167,1646347413,80.94,72,4,5.35
271,Wau,SS,7.7029,27.9953,1646347414,82.71,46,66,4.34
272,Nakamura,JP,32.9833,132.9333,1646347414,43.39,55,35,2.95
273,Chumikan,RU,54.7183,135.315,1646347414,-1.73,89,40,11.03
274,Trelew,AR,-43.249,-65.3051,1646347415,81.99,24,74,24.61
275,Mahébourg,MU,-20.4081,57.7,1646347415,77.29,94,75,3.44
276,Bagaha,IN,27.1,84.0833,1646347416,58.75,47,0,5.59
277,Bonito,BR,-21.1211,-56.4819,1646347208,80.56,64,86,2.39
278,La Asuncion,VE,11.0333,-63.8628,1646347416,83.93,74,50,16.11
279,Ikongo,MG,-21.8833,47.4333,1646347416,70.97,99,97,1.77
280,Promyshlennyy,RU,67.5833,63.9167,1646347417,-28.73,100,65,4.14
281,Verkh-Usugli,RU,52.7,115.1667,1646347417,-3.91,93,18,5.28
282,Bloemfontein,ZA,-29.1211,26.214,1646347418,60.28,100,100,8.05
283,Honningsvåg,NO,70.9821,25.9704,1646347418,30.15,73,100,28.27
284,Fagersta,SE,60.0042,15.7932,1646347418,27.19,97,14,2.35
285,Olds,CA,51.7834,-114.102,1646347419,22.87,100,100,1.14
286,Boa Viagem,BR,-5.1275,-39.7322,1646347420,80.89,48,86,3.11
287,Praia,CV,14.9215,-23.5087,1646347378,70.34,83,20,20.71
288,Vardø,NO,70.3705,31.1107,1646347420,22.98,93,40,19.57
289,Dubrovnik,HR,42.6481,18.0922,1646347421,44.24,61,0,6.91
290,Nānākuli,US,21.3906,-158.1547,1646347421,84.15,52,20,16.11
291,Zomba,MW,-15.386,35.3188,1646347422,63.64,92,39,1.1
292,Kailua,US,21.4022,-157.7394,1646347423,84.18,69,3,3.0
293,Abonnema,NG,4.7084,6.7931,1646347423,80.6,81,97,6.89
294,Saint George,US,37.1041,-113.5841,1646347424,79.27,12,0,5.99
295,Banda Aceh,ID,5.5577,95.3222,1646347424,78.75,78,100,4.7
296,Turan,VN,16.0678,108.2208,1646347374,69.78,94,20,0.0
297,Naze,JP,28.3667,129.4833,1646347425,45.52,66,0,4.97
298,Provideniya,RU,64.3833,-173.3,1646347425,15.91,79,75,24.61
299,Arica,CL,-18.475,-70.3042,1646347426,80.15,57,0,9.22
300,Nadym,RU,65.5333,72.5167,1646347426,-3.26,95,98,21.99
301,Mount Isa,AU,-20.7333,139.5,1646347427,82.17,30,23,0.0
302,Meulaboh,ID,4.1363,96.1285,1646347427,76.33,88,99,2.66
303,Maracás,BR,-13.4411,-40.4308,1646347428,66.65,88,76,7.14
304,Tuatapere,NZ,-46.1333,167.6833,1646347428,66.81,61,100,0.16
305,Bloomsburg,US,41.0037,-76.4549,1646347429,35.22,43,64,10.29
306,Lima,PE,-12.0432,-77.0282,1646347215,77.14,61,0,11.5
307,Laguna,US,38.421,-121.4238,1646347430,71.65,54,0,12.66
308,Narasannapeta,IN,18.4167,84.05,1646347430,70.54,78,82,6.53
309,Aguié,NE,13.506,7.7786,1646347431,78.33,7,47,7.56
310,Guarapari,BR,-20.6667,-40.4975,1646347431,82.29,86,0,11.25
311,Chenghai,CN,23.4632,116.768,1646347432,62.51,94,75,0.0
312,Shemysheyka,RU,52.892,45.3928,1646347432,28.4,97,100,8.86
313,Jalu,LY,29.0331,21.5482,1646347433,55.53,43,99,6.02
314,Novosergiyevka,RU,52.0934,53.6528,1646347433,9.84,99,98,3.8
315,Saint-François,FR,46.4154,3.9054,1646347433,35.04,100,100,1.14
316,Ginda,IN,30.6945,78.4932,1646347434,38.93,61,26,8.79
317,Kampot,KH,10.6167,104.1833,1646347434,75.25,82,38,3.56
318,Marystown,CA,47.1666,-55.1483,1646347435,29.86,100,100,2.17
319,Sterling,US,39.0062,-77.4286,1646347435,51.24,33,0,16.11
320,Tatishchevo,RU,51.6703,45.5953,1646347435,30.24,97,100,13.89
321,Buchanan,LR,5.8808,-10.0467,1646347436,78.76,85,54,6.13
322,Lagoa,PT,39.05,-27.9833,1646347436,59.54,79,100,16.44
323,Sistranda,NO,63.7256,8.834,1646347437,37.9,72,3,9.42
324,Florø,NO,61.5996,5.0328,1646347437,43.97,49,20,14.97
325,Nouadhibou,MR,20.931,-17.0347,1646347438,66.18,77,0,25.32
326,Vestmanna,FO,62.1564,-7.1664,1646347438,38.32,87,20,4.61
327,Kulhudhuffushi,MV,6.6221,73.07,1646347439,81.45,67,98,4.81
328,Urengoy,RU,65.9667,78.3667,1646347439,5.54,95,100,15.52
329,Belmonte,BR,-15.8631,-38.8828,1646347294,79.3,88,100,8.5
330,Swellendam,ZA,-34.0226,20.4417,1646347440,64.78,73,99,3.0
331,Pampas,PE,-12.4,-74.9,1646347440,53.69,81,90,4.92
332,Atbasar,KZ,51.8,68.3333,1646347440,4.95,99,98,4.54
333,Guaramirim,BR,-26.4731,-49.0028,1646347441,78.55,99,100,2.28
334,Kloulklubed,PW,7.0419,134.2556,1646347441,77.5,72,100,12.26
335,Salalah,OM,17.0151,54.0924,1646347442,73.49,73,0,4.61
336,Devonport,AU,-41.1667,146.35,1646347442,70.0,80,100,9.89
337,Geraldton,AU,-28.7667,114.6,1646347443,64.81,39,0,13.8
338,Kahului,US,20.8947,-156.47,1646347443,83.46,64,20,12.66
339,Sittwe,MM,20.15,92.9,1646347444,67.78,39,3,9.37
340,Le Port,RE,-20.9373,55.2919,1646347444,78.8,86,10,4.32
341,Torbay,CA,47.6666,-52.7314,1646347445,29.57,76,100,8.05
342,Cabinda,AO,-5.55,12.2,1646347445,80.74,89,99,9.06
343,Virden,US,39.5009,-89.7679,1646347246,43.59,53,10,10.8
344,Lanzhou,CN,36.0564,103.7922,1646347446,27.68,40,83,1.66
345,Ekhabi,RU,53.5102,142.9671,1646347446,3.38,78,68,18.66
346,Maragogi,BR,-9.0122,-35.2225,1646347447,80.73,75,38,7.76
347,Zvenigovo,RU,55.9742,48.0181,1646347447,16.75,96,98,2.06
348,Kidodi,TZ,-7.6036,37.0044,1646347447,73.76,95,100,2.66
349,‘Ewa Beach,US,21.3156,-158.0072,1646347380,84.15,54,20,16.11
350,Gamba,GA,-2.65,10.0,1646347448,79.2,88,84,3.94
351,Klaksvík,FO,62.2266,-6.589,1646347448,40.12,70,86,17.34
352,Kishtwār,IN,33.3167,75.7667,1646347449,40.33,92,99,4.0
353,San Quintín,MX,30.4833,-115.95,1646347449,63.1,61,37,7.2
354,Dhidhdhoo,MV,6.8833,73.1,1646347450,81.57,68,99,4.92
355,Tessalit,ML,20.1986,1.0114,1646347450,71.76,21,100,12.73
356,Kaeo,NZ,-35.1,173.7833,1646347451,73.33,59,77,14.61
357,Hamilton,US,39.1834,-84.5333,1646347271,43.23,51,75,11.5
